img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_5219897AmericaFrontccc.jpg,Attack of the Movies 3D,X360,Shooter,Majesco,Panic Button Games Inc.,,0.04,0.04,,,0.0,2010-05-18,
/games/boxart/full_2641759AmericaFrontccc.jpg,Battle Rage,Wii,Shooter,Destineer,Destan Entertainment,,0.04,0.04,,,0.0,2009-02-24,
/games/boxart/full_4121305AmericaFrontccc.jpg,Cat Quest,NS,Adventure,PQube,The Gentlebros,,0.04,0.04,,,0.0,2018-10-09,2020-05-10
/games/boxart/full_1671965JapanFrontccc.jpg,Haunted Casino,SAT,Adventure,Societa,Societa,,0.04,,0.04,,,1996-09-27,
/games/boxart/full_6046790AmericaFrontccc.jpg,Arctic Tale,Wii,Adventure,DSI Games,Atomic Planet Entertainment,,0.04,0.04,,0.0,0.0,2007-10-10,
/games/boxart/full_syk-renshouden-portable_296JapanFront.jpg,S.Y.K Renshouden Portable,PSP,Adventure,Idea Factory,Idea Factory,,0.04,,0.04,,,2011-04-21,
/games/boxart/full_2609390JapanFrontccc.jpg,Cube Creator DX,3DS,Adventure,Arc System Works,Big John Games,,0.04,,0.04,,,2017-04-27,2019-01-20
/games/boxart/full_9307077AmericaFrontccc.jpg,Here They Lie,PS4,Adventure,Sony Interactive Entertainment,Tangentlemen,,0.04,,,0.03,0.01,2016-10-13,2018-09-24
/games/boxart/full_jasf-janes-advanced-strike-fighters_115AmericaFront.jpg,JASF: Jane's Advanced Strike Fighters,PC,Simulation,Unknown,Trickstar Games,,0.04,0.02,,0.01,0.0,2011-10-18,
/games/boxart/full_1704672JapanFrontccc.jpg,A Ressha de Ikou DS,DS,Simulation,ArtDink,ArtDink,,0.04,,0.04,,,2009-04-23,
/games/boxart/full_j-league-pro-striker-2_147JapanFront.jpg,J-League Pro Striker 2,GEN,Sports,Sega,Sega,,0.04,,0.04,,,1994-07-15,
/games/boxart/4772199ccc.gif,Power Play Pool,DS,Sports,Conspiracy Entertainment,System 3,,0.04,0.03,,0.0,0.0,2007-10-26,
/games/boxart/full_4076374AmericaFrontccc.jpg,Tennis World Tour,XOne,Sports,Bigben Interactive,Breakpoint Studio,,0.04,0.03,,,0.0,2018-05-22,2018-09-26
/games/boxart/6975847ccc.jpg,Surf's Up,PS3,Sports,Ubisoft,Ubisoft Montreal,,0.04,0.03,,0.0,0.0,2007-05-30,
